IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
104.27.81.105,8443,443,true,LAX,North America,Los Angeles,1,12.88
104.19.23.186,8443,443,true,LAX,North America,Los Angeles,1,12.88
104.27.56.177,8443,443,true,LAX,North America,Los Angeles,1,12.88
172.67.74.138,8443,443,true,SEA,North America,Seattle,2,12.88
172.64.176.242,8443,443,true,HKG,Asia Pacific,Hong Kong,2,12.88
172.67.67.102,8443,443,true,SEA,North America,Seattle,2,12.88
104.18.86.124,8443,443,true,HKG,Asia Pacific,Hong Kong,2,12.88
172.67.218.52,8443,443,true,SJC,North America,San Jose,2,12.88
104.23.121.47,8443,443,true,LAX,North America,Los Angeles,3,12.88
104.24.77.71,8443,443,true,LAX,North America,Los Angeles,3,12.88
162.159.130.44,8443,443,true,FRA,Europe,Frankfurt,3,12.88
104.23.109.171,8443,443,true,SJC,North America,San Jose,3,12.88
104.17.92.56,8443,443,SJC,true,North America,San Jose,3,12.88
104.19.167.166,8443,443,true,SEA,North America,Seattle,3,12.88
104.25.169.96,8443,443,true,SJC,North America,San Jose,3,12.88
104.25.123.164,8443,443,true,SJC,North America,San Jose,3,12.88
104.24.32.125,8443,443,true,LAX,North America,Los Angeles,3,12.88
104.24.147.199,8443,443,true,LAX,North America,Los Angeles,3,12.88
104.23.98.88,8443,443,true,SJC,North America,San Jose,3,12.88
104.24.50.142,8443,443,true,LAX,North America,Los Angeles,3,12.88
172.67.5.82,8443,443,true,FRA,Europe,Frankfurt,3,12.88
198.41.208.56,8443,443,true,SJC,North America,San Jose,3,12.88
172.64.48.90,8443,443,true,SJC,North America,San Jose,3,12.88
104.25.48.176,8443,443,true,LAX,North America,Los Angeles,3,12.88
104.25.39.248,8443,443,true,SJC,North America,San Jose,3,12.88
104.20.44.180,8443,443,true,LAX,North America,Los Angeles,3,12.88
104.20.30.95,8443,443,true,SJC,North America,San Jose,3,12.88
104.18.95.119,8443,443,true,SJC,North America,San Jose,3,12.88
104.18.53.161,8443,443,true,LAX,North America,Los Angeles,3,12.88
104.21.103.112,8443,443,true,SJC,North America,San Jose,3,12.88
104.25.6.184,8443,443,true,SJC,North America,San Jose,3,12.88
104.20.109.223,8443,443,true,LAX,North America,Los Angeles,3,12.88
104.19.160.96,8443,443,true,SEA,North America,Seattle,4,12.88
172.67.54.197,8443,443,true,LAX,North America,Los Angeles,4,12.88
172.66.0.90,8443,443,true,LAX,North America,Los Angeles,4,12.88
104.20.137.71,8443,443,true,LAX,North America,Los Angeles,4,12.88
104.24.149.235,8443,443,true,SJC,North America,San Jose,4,12.88
104.18.88.58,8443,443,true,HKG,Asia Pacific,Hong Kong,4,12.88
172.67.200.119,8443,443,true,LAX,North America,Los Angeles,4,12.88
172.67.107.92,8443,443,true,LAX,North America,Los Angeles,4,12.88
104.20.248.205,8443,443,true,LAX,North America,Los Angeles,4,12.88
104.21.16.253,8443,443,true,SEA,North America,Seattle,4,12.88
104.21.15.135,8443,443,true,SJC,North America,San Jose,4,12.88
104.21.17.61,8443,443,true,SEA,North America,Seattle,4,12.88
104.20.141.238,8443,443,true,SJC,North America,San Jose,4,12.88
104.19.174.124,8443,443,true,SEA,North America,Seattle,4,12.88
104.24.69.53,8443,443,true,SJC,North America,San Jose,4,12.88
104.27.46.223,8443,443,true,SJC,North America,San Jose,4,12.88
104.23.120.36,8443,443,true,LAX,North America,Los Angeles,4,12.88
104.20.107.151,8443,443,true,LAX,North America,Los Angeles,4,12.88
104.22.58.1,8443,443,true,SEA,North America,Seattle,4,12.88
172.64.35.246,8443,443,true,HKG,Asia Pacific,Hong Kong,4,12.88
104.16.255.227,8443,443,true,SJC,North America,San Jose,4,12.88
104.24.148.216,8443,443,true,SJC,North America,San Jose,4,12.88
104.25.35.136,8443,443,true,SJC,North America,San Jose,4,12.88
104.18.207.30,8443,443,true,SJC,North America,San Jose,4,12.88
104.17.216.152,8443,443,true,HKG,Asia Pacific,Hong Kong,4,12.88
104.19.252.8,8443,443,true,SJC,North America,San Jose,4,12.88
104.25.140.64,8443,443,true,LAX,North America,Los Angeles,4,12.88
104.21.205.168,8443,443,true,LAX,North America,Los Angeles,4,12.88
172.64.90.47,8443,443,true,LAX,North America,Los Angeles,4,12.88
172.67.97.167,8443,443,true,LAX,North America,Los Angeles,4,12.88
104.25.167.121,8443,443,true,LAX,North America,Los Angeles,4,12.88
104.25.166.26,8443,443,true,SJC,North America,San Jose,4,12.88
104.19.175.40,8443,443,true,SEA,North America,Seattle,4,12.88
104.21.200.253,8443,443,true,LAX,North America,Los Angeles,4,12.88
104.27.63.99,8443,443,true,LAX,North America,Los Angeles,4,12.88
104.18.54.11,8443,443,true,SJC,North America,San Jose,4,12.88
104.20.19.45,8443,443,true,LAX,North America,Los Angeles,4,12.88
104.20.45.80,8443,443,true,LAX,North America,Los Angeles,5,12.88
104.18.96.22,8443,443,true,SJC,North America,San Jose,5,12.88
104.25.115.74,8443,443,true,SJC,North America,San Jose,5,12.88
104.21.224.46,8443,443,true,SEA,North America,Seattle,5,12.88
104.17.198.80,8443,443,true,SJC,North America,San Jose,5,12.88
104.17.87.130,8443,443,true,SJC,North America,San Jose,5,12.88
104.17.204.4,8443,443,true,SJC,North America,San Jose,5,12.88
104.16.231.209,8443,443,true,SJC,North America,San Jose,5,12.88
104.19.186.66,8443,443,true,SJC,North America,San Jose,5,12.88
104.25.117.112,8443,443,true,LAX,North America,Los Angeles,5,12.88
104.24.71.124,8443,443,true,SJC,North America,San Jose,5,12.88
104.20.116.180,8443,443,true,LAX,North America,Los Angeles,5,12.88
172.67.84.242,8443,443,true,LAX,North America,Los Angeles,5,12.88
172.67.58.239,8443,443,true,LAX,North America,Los Angeles,5,12.88
172.64.84.224,8443,443,true,HKG,Asia Pacific,Hong Kong,5,12.88
172.67.93.169,8443,443,true,SJC,North America,San Jose,5,12.88
104.19.250.69,8443,443,true,SJC,North America,San Jose,5,12.88
104.18.57.193,8443,443,true,LAX,North America,Los Angeles,5,12.88
172.67.156.120,8443,443,true,SEA,North America,Seattle,5,12.88
104.25.234.81,8443,443,true,LAX,North America,Los Angeles,5,12.88
104.19.135.160,8443,443,true,LAX,North America,Los Angeles,5,12.88
104.25.161.49,8443,443,true,LAX,North America,Los Angeles,5,12.88
172.67.158.48,8443,443,true,SEA,North America,Seattle,5,12.88
172.65.237.31,8443,443,true,LAX,North America,Los Angeles,5,12.88
104.20.157.168,8443,443,true,LAX,North America,Los Angeles,5,12.88
172.64.91.115,8443,443,true,HKG,Asia Pacific,Hong Kong,5,12.88
104.19.22.152,8443,443,true,LAX,North America,Los Angeles,5,12.88
172.67.42.49,8443,443,true,SJC,North America,San Jose,5,12.88
104.27.24.107,8443,443,true,SJC,North America,San Jose,5,12.88
172.64.145.176,8443,443,true,HKG,Asia Pacific,Hong Kong,5,12.88
104.19.62.178,8443,443,true,SJC,North America,San Jose,5,12.88
198.41.214.12,8443,443,true,LAX,North America,Los Angeles,5,12.88
172.67.118.208,8443,443,true,LAX,North America,Los Angeles,5,12.88
104.27.123.69,8443,443,true,LAX,North America,Los Angeles,5,12.88
104.20.253.25,8443,443,true,LAX,North America,Los Angeles,5,12.88
104.25.55.150,8443,443,true,LAX,North America,Los Angeles,5,12.88
104.25.159.184,8443,443,true,SJC,North America,San Jose,5,12.88
104.22.63.96,8443,443,true,SEA,North America,Seattle,5,12.88
104.17.5.173,8443,443,true,SJC,North America,San Jose,5,12.88
104.19.187.139,8443,443,true,SJC,North America,San Jose,5,12.88
104.24.55.237,8443,443,true,SJC,North America,San Jose,5,12.88
104.17.88.155,8443,443,true,SJC,North America,San Jose,5,12.88
104.27.83.50,8443,443,true,LAX,North America,Los Angeles,5,12.88
104.23.119.152,8443,443,true,LAX,North America,Los Angeles,5,12.88
172.66.45.49,8443,443,true,SEA,North America,Seattle,5,12.88
104.18.208.142,8443,443,true,SJC,North America,San Jose,5,12.88
172.67.44.98,8443,443,true,LAX,North America,Los Angeles,5,12.88
104.20.42.211,8443,443,true,LAX,North America,Los Angeles,5,12.88
162.159.33.72,8443,443,true,LAX,North America,Los Angeles,6,12.88
162.159.32.105,8443,443,true,SJC,North America,San Jose,6,12.88
172.64.86.167,8443,443,true,HKG,Asia Pacific,Hong Kong,6,12.88
162.159.49.105,8443,443,true,SJC,North America,San Jose,6,12.88
104.17.115.82,8443,443,true,SJC,North America,San Jose,6,12.88
172.67.53.152,8443,443,true,LAX,North America,Los Angeles,6,12.88
104.20.249.70,8443,443,true,LAX,North America,Los Angeles,6,12.88
104.24.170.25,8443,443,true,SJC,North America,San Jose,6,12.88
104.17.199.122,8443,443,true,HKG,Asia Pacific,Hong Kong,6,12.88
104.27.66.101,8443,443,true,SJC,North America,San Jose,6,12.88
104.16.235.245,8443,443,true,SJC,North America,San Jose,6,12.88
104.18.191.178,8443,443,true,SEA,North America,Seattle,6,12.88
104.25.21.189,8443,443,true,SJC,North America,San Jose,6,12.88
104.16.14.253,8443,443,true,HKG,Asia Pacific,Hong Kong,6,12.88
104.22.56.147,8443,443,true,SEA,North America,Seattle,6,12.88
104.25.138.235,8443,443,true,SJC,North America,San Jose,6,12.88
104.25.164.189,8443,443,true,SJC,North America,San Jose,6,12.88
104.16.148.204,8443,443,true,SJC,North America,San Jose,6,12.88
104.17.94.133,8443,443,true,SJC,North America,San Jose,6,12.88
104.19.48.142,8443,443,true,LAX,North America,Los Angeles,6,12.88
104.27.9.149,8443,443,true,SJC,North America,San Jose,6,12.88
104.17.203.45,8443,443,true,HKG,Asia Pacific,Hong Kong,6,12.88
104.18.10.74,8443,443,true,SEA,North America,Seattle,6,12.88
104.25.53.183,8443,443,true,LAX,North America,Los Angeles,6,12.88
104.27.41.211,8443,443,true,LAX,North America,Los Angeles,6,12.88
198.41.222.4,8443,443,true,LAX,North America,Los Angeles,6,12.88
172.64.33.82,8443,443,true,LAX,North America,Los Angeles,6,12.88
104.16.249.43,8443,443,true,SJC,North America,San Jose,6,12.88
104.17.4.252,8443,443,true,SJC,North America,San Jose,6,12.88
104.20.252.100,8443,443,true,LAX,North America,Los Angeles,6,12.88
104.24.187.170,8443,443,true,SJC,North America,San Jose,7,12.88
104.20.150.26,8443,443,true,SJC,North America,San Jose,7,12.88
190.93.244.38,8443,443,true,SJC,North America,San Jose,7,12.88
104.19.180.82,8443,443,true,SJC,North America,San Jose,7,12.88
104.20.255.123,8443,443,true,LAX,North America,Los Angeles,7,12.88
104.21.221.240,8443,443,true,LAX,North America,Los Angeles,7,12.88
104.18.199.88,8443,443,true,SJC,North America,San Jose,7,12.88
104.20.251.66,8443,443,true,LAX,North America,Los Angeles,7,12.88
104.19.71.182,8443,443,true,LAX,North America,Los Angeles,7,12.88
104.19.136.238,8443,443,true,SJC,North America,San Jose,7,12.88
104.19.61.57,8443,443,true,LAX,North America,Los Angeles,7,12.88
104.20.114.21,8443,443,true,LAX,North America,Los Angeles,7,12.88
172.64.34.244,8443,443,true,LAX,North America,Los Angeles,7,12.88
104.19.140.10,8443,443,true,LAX,North America,Los Angeles,7,12.88
172.64.32.81,8443,443,true,LAX,North America,Los Angeles,7,12.88
104.19.204.63,8443,443,true,LAX,North America,Los Angeles,7,12.88
104.19.70.115,8443,443,true,SJC,North America,San Jose,7,12.88
104.18.206.73,8443,443,true,SJC,North America,San Jose,7,12.88
104.20.240.9,8443,443,true,SJC,North America,San Jose,7,12.88
162.159.134.123,8443,443,true,NRT,Asia Pacific,Tokyo,7,12.88
104.20.27.227,8443,443,true,LAX,North America,Los Angeles,7,12.88
104.27.60.74,8443,443,true,SJC,North America,San Jose,7,12.88
104.19.169.109,8443,443,true,SEA,North America,Seattle,7,12.88
104.19.27.15,8443,443,true,LAX,North America,Los Angeles,7,12.88
104.22.30.2,8443,443,true,SJC,North America,San Jose,7,12.88
104.23.116.68,8443,443,true,LAX,North America,Los Angeles,7,12.88
104.23.115.230,8443,443,true,LAX,North America,Los Angeles,7,12.88
104.23.117.85,8443,443,true,LAX,North America,Los Angeles,7,12.88
104.23.118.113,8443,443,true,SJC,North America,San Jose,7,12.88
104.22.62.250,8443,443,true,SEA,North America,Seattle,7,12.88
172.67.190.178,8443,443,true,LAX,North America,Los Angeles,7,12.88
104.22.64.142,8443,443,true,LAX,North America,Los Angeles,7,12.88
104.17.126.224,8443,443,true,SJC,North America,San Jose,8,12.88
104.17.125.204,8443,443,true,SJC,North America,San Jose,8,12.88
104.20.124.51,8443,443,true,SJC,North America,San Jose,8,12.88
104.24.72.205,8443,443,true,SJC,North America,San Jose,8,12.88
