IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
104.27.81.105,8443,443,true,LAX,North America,Los Angeles,42,12.88
162.159.7.92,8443,443,false,HKG,Asia Pacific,Hong Kong,42,12.88
162.159.48.195,8443,443,false,HKG,Asia Pacific,Hong Kong,42,12.88
162.159.2.182,8443,443,false,HKG,Asia Pacific,Hong Kong,42,12.88
172.64.49.202,8443,443,false,HKG,Asia Pacific,Hong Kong,42,12.88
173.245.49.53,8443,443,false,HKG,Asia Pacific,Hong Kong,42,12.88
198.41.214.243,8443,443,false,HKG,Asia Pacific,Hong Kong,42,12.88
173.245.59.56,8443,443,false,HKG,Asia Pacific,Hong Kong,42,12.88
162.159.60.31,8443,443,false,HKG,Asia Pacific,Hong Kong,42,12.88
185.146.173.255,8443,443,false,HKG,Asia Pacific,Hong Kong,42,12.88
162.159.141.31,8443,443,false,NRT,Asia Pacific,Tokyo,42,12.88
162.159.136.30,8443,443,false,NRT,Asia Pacific,Tokyo,42,12.88
104.18.91.189,8443,443,false,HKG,Asia Pacific,Hong Kong,42,12.88
104.18.78.145,8443,443,false,HKG,Asia Pacific,Hong Kong,42,12.88
104.19.144.70,8443,443,false,HKG,Asia Pacific,Hong Kong,42,12.88
104.18.53.165,8443,443,false,HKG,Asia Pacific,Hong Kong,42,12.88
104.18.77.84,8443,443,false,HKG,Asia Pacific,Hong Kong,42,12.88
104.19.213.195,8443,443,false,HKG,Asia Pacific,Hong Kong,42,12.88
104.17.186.199,8443,443,false,HKG,Asia Pacific,Hong Kong,42,12.88
104.19.216.190,8443,443,false,HKG,Asia Pacific,Hong Kong,42,12.88
104.17.170.55,8443,443,false,HKG,Asia Pacific,Hong Kong,42,12.88
104.18.72.73,8443,443,false,HKG,Asia Pacific,Hong Kong,42,12.88
104.18.175.152,8443,443,false,HKG,Asia Pacific,Hong Kong,42,12.88
104.17.143.11,8443,443,false,HKG,Asia Pacific,Hong Kong,42,12.88
104.17.58.49,8443,443,false,HKG,Asia Pacific,Hong Kong,42,12.88
104.25.245.82,8443,443,false,HKG,Asia Pacific,Hong Kong,42,12.88
104.17.196.181,8443,443,false,HKG,Asia Pacific,Hong Kong,42,12.88
104.18.155.64,8443,443,false,HKG,Asia Pacific,Hong Kong,42,12.88
104.17.140.104,8443,443,false,HKG,Asia Pacific,Hong Kong,42,12.88
104.18.159.120,8443,443,false,HKG,Asia Pacific,Hong Kong,42,12.88
104.16.14.164,8443,443,false,HKG,Asia Pacific,Hong Kong,42,12.88
104.16.254.2,8443,443,false,HKG,Asia Pacific,Hong Kong,42,12.88
104.18.173.220,8443,443,false,HKG,Asia Pacific,Hong Kong,42,12.88
104.25.246.54,8443,443,false,HKG,Asia Pacific,Hong Kong,42,12.88
104.16.241.28,8443,443,false,HKG,Asia Pacific,Hong Kong,42,12.88
104.19.209.117,8443,443,false,HKG,Asia Pacific,Hong Kong,42,12.88
104.18.167.212,8443,443,false,HKG,Asia Pacific,Hong Kong,42,12.88
104.17.53.223,8443,443,false,HKG,Asia Pacific,Hong Kong,42,12.88
104.18.93.213,8443,443,false,HKG,Asia Pacific,Hong Kong,42,12.88
104.16.5.218,8443,443,false,HKG,Asia Pacific,Hong Kong,42,12.88
